final_result_id,race_id,race_name,1st,2nd,3rd,4th,5th,6th,7th
FR_1,R_1,Prix Zeturf (Prix North Jet),1,3,4,2,5,7,0
FR_2,R_2,Prix Grandeur Nature (Prix Ramsin),5,2,6,1,3,7,4
FR_3,R_3,Prix Sissy's Art et Création (Prix Voix du Nord),7,5,4,3,2,1,6
FR_4,R_4,Prix Clôture du Meeting Clairefontaine l'Athippique (Prix Robertet),4,11,5,2,12,8,13
FR_5,R_5,Prix Juste Equilibre avec Darty Deauville (Prix des Magnolias),10,5,7,2,1,11,3
FR_6,R_6,Prix Espadrille Deauville (Prix de Guernesey),6,4,2,12,3,9,1
FR_7,R_7,Prix Vans Barbot (Prix de Clôture),7,15,13,14,6,8,12
FR_8,R_8,Prix Rêve la Boutique (Prix de Schonbrunn),6,1,12,7,5,8,3
FR_9,R_9,Prix Astheya (Prix du Lieu Mallet),4,12,3,10,6,8,13
FR_10,R_10,Prix Antoine Blanckaert,2,3,1,4,0,0,0
FR_11,R_11,Prix Laborde,3,5,2,4,0,0,0
FR_12,R_12,Prix Nell Bréauté,3,2,5,7,4,6,0
FR_13,R_13,Prix Métatéro,3,10,5,1,8,11,0
FR_14,R_14,Prix Bel la Vie,7,2,6,1,8,4,0
FR_15,R_15,Prix Milord Thomas,7,9,1,10,2,5,4
FR_16,R_16,Prix Jean-Baptiste Corot,5,2,4,7,8,9,6
FR_17,R_17,Prix de Saint-Mandé,5,3,6,1,7,8,9
FR_18,R_18,Prix de Dole,3,8,12,4,5,11,2
FR_19,R_19,Prix de Lury-sur-Arnon,5,2,1,4,9,6,8
FR_20,R_20,Prix de Provence,5,6,12,11,7,8,1
FR_21,R_21,Prix Camille Lepecq,7,8,5,9,2,4,3
FR_22,R_22,Yearling Cup 2023 - Arqana Trot,14,15,7,11,1,9,5
FR_23,R_23,Prix Phact,10,6,9,7,4,5,3
FR_24,R_24,Prix de Mulhouse,11,7,5,10,9,13,8
FR_25,R_25,Prix de Montegiorgio,4,14,2,1,6,8,10
FR_26,R_26,Prix du Conseil Régional de la Toscane,3,1,6,4,10,8,9
FR_27,R_27,Grand Prix du Département des Alpes-Maritimes,3,2,5,1,4,11,7
FR_28,R_28,Prix d'Argentan,8,2,7,4,1,5,0
FR_29,R_29,Prix de Jägersro (Prix Journal Paris-Turf),13,9,6,12,10,8,5
FR_30,R_30,Prix Timoko,4,2,7,5,3,0,0
FR_31,R_31,11ème Palio de l'Amitié - BFM Nice Côte d'Azur,1,11,5,10,12,6,13
FR_32,R_32,Prix Alouettes - Prix France Bleu,2,7,8,6,1,5,4
FR_33,R_33,Prix des Dahlias - Prix Ville de Saint-Galmier,5,6,4,9,11,10,3
FR_34,R_34,Prix des Coquelicots,9,13,6,8,12,7,1
FR_35,R_35,Prix des Pâquerettes - Prix Hippodrome Fête,8,7,9,5,4,11,10
FR_36,R_36,Prix des Eglantines,10,6,13,7,3,1,12
FR_37,R_37,Prix Saint-Etienne la Métropole - Race And Care,8,7,4,11,10,5,9
FR_38,R_38,Prix des Gentianes - Prix des Pas Pétillants,3,7,8,1,12,14,15
FR_39,R_39,Wettstar.de Teamwetten-Cup,7,2,9,6,5,8,3
FR_40,R_40,Freiberger Grapefruit-Cup,10,1,7,2,9,8,4
FR_41,R_41,Buchmacher Albers Steher-Cup,10,1,9,6,7,8,3
FR_42,R_42,Preis Der Felgner Sicherheitstechnik,5,8,3,2,9,7,11
FR_43,R_43,Fleischerei-Scholzel-Cup,1,5,4,3,2,0,0
FR_44,R_44,Preis Der Dsd Dresdner Sicherheitsdienst Gmbh,2,1,8,9,6,3,5
FR_45,R_45,Preis Der Wettannahme Albers,1,5,2,4,3,8,6
FR_46,R_46,Preis Der Paint & Work Werbung,1,3,2,4,0,0,0
FR_47,R_47,Sky Bet And Symphony Group Strensall Stakes,4,2,5,1,3,6,0
FR_48,R_48,Sky Bet Melrose Handicap,5,3,7,4,13,6,8
FR_49,R_49,Sky Bet City Of York Stakes,4,2,8,10,7,1,5
FR_50,R_50,Sky Bet Ebor Handicap,9,15,1,17,21,14,6
FR_51,R_51,Sky Bet Constantine Handicap,14,1,19,7,20,11,0
FR_52,R_52,Julia Graves Roses Stakes,4,7,8,1,6,5,3
FR_53,R_53,Sky Bet Finale Handicap,1,8,3,5,11,18,13
FR_54,R_54,Prix Ladbroke It! Handicap,3,11,7,2,0,0,0
FR_55,R_55,Prix Ranvet Handicap,8,3,6,7,0,0,0
FR_56,R_56,Prix Leon Macdonald Stakes,11,14,1,10,0,0,0
FR_57,R_57,Prix Skycity Handicap,4,13,5,2,0,0,0
FR_58,R_58,Prix Gratinada,9,3,15,14,8,5,10
FR_59,R_59,Prix Raika,7,6,1,5,2,4,3
FR_60,R_60,Prix Maida Alegre,2,8,11,6,14,3,12
FR_61,R_61,Prix Daniel J. Lyon Amenabar,1,3,4,6,5,7,2
FR_62,R_62,Prix Valparaiso Sporting Club,10,13,15,9,1,12,11
FR_63,R_63,Prix Mocita Mia,12,2,8,7,13,9,5
FR_64,R_64,Mil Guineas Maria Luisa Solari Falabella,8,13,11,12,9,10,6
FR_65,R_65,Prix la Buena Vida,14,11,4,13,2,9,3
FR_66,R_66,Prix Patakuza,15,4,7,6,10,13,9
FR_67,R_67,Prix Triple Joy,11,1,3,10,15,14,13
FR_68,R_68,Allowance,13,7,5,6,0,0,0
FR_69,R_69,H. Allen Jerkens Memorial Stakes,2,3,6,4,0,0,0
FR_70,R_70,Ballerina Handicap,6,7,2,8,0,0,0
FR_71,R_71,Resorts World Casino Sword Dancer Stakes,3,1,5,4,0,0,0
FR_72,R_72,Travers Stakes,2,6,3,1,0,0,0
FR_73,R_73,Premi Ramsès des Charmes,4,1,5,7,3,0,0
FR_74,R_74,Premi Cala Bona,9,4,8,1,2,0,0
FR_75,R_75,Prix Barrière l'Hôtel du Golf,4,2,1,3,5,0,0
FR_76,R_76,Barrière Prix de Meautry,5,1,2,6,3,4,0
FR_77,R_77,Prix Resort Barrière Deauville-Trouville,2,12,7,1,15,8,13
FR_78,R_78,Barrière Prix Quincey,5,10,2,8,3,6,9
FR_79,R_79,Lucien Barrière Grand Prix de Deauville,5,2,4,3,1,0,0
FR_80,R_80,Prix Casino Barrière Deauville,6,3,9,2,7,5,14
FR_81,R_81,Prix Hotel Barrière Le Royal Deauville,7,8,11,3,10,15,12
FR_82,R_82,Prix Casino Barrière Trouville,4,9,1,2,7,12,3
FR_83,R_83,Prix Hotel Barrière Le Normandy,1,2,12,5,9,10,15
FR_84,R_84,Prix du Conseil Régional d'Occitanie,3,11,4,5,2,7,1
FR_85,R_85,Prix Victor Grégoris,5,8,1,4,2,6,10
FR_86,R_86,Prix Intermarché Beaumont,6,8,9,11,2,1,10
FR_87,R_87,Prix du Conseil Départemental de Tarn et Garonne,6,3,12,11,4,7,1
FR_88,R_88,Prix Gilbert et Jean-Pierre Gailing,11,8,7,4,3,9,5
FR_89,R_89,Grand Prix Dynavena,15,9,13,11,10,1,6
FR_90,R_90,Prix de Vincennes,8,2,3,1,7,4,11
FR_91,R_91,Prix Maurice Prat,2,9,7,6,1,8,10
FR_92,R_92,Prix des Pins,6,7,3,4,10,2,5
FR_93,R_93,Prix Flipper - Wathba Stallions Cup,2,11,3,6,7,13,5
