prognose_id,race_id,race_name,1st,2nd,3nd,4th,5th,6th,7th
OC_1,R_1,Prix Zeturf (Prix North Jet),3,1,2,4,0,0,0
OC_2,R_2,Prix Grandeur Nature (Prix Ramsin),2,5,1,3,0,0,0
OC_3,R_3,Prix Sissy's Art et Création (Prix Voix du Nord),6,4,7,2,0,0,0
OC_4,R_4,Prix Clôture du Meeting Clairefontaine l'Athippique (Prix Robertet),10,4,7,14,6,8,5
OC_5,R_5,Prix Juste Equilibre avec Darty Deauville (Prix des Magnolias),1,7,2,11,10,4,6
OC_6,R_6,Prix Espadrille Deauville (Prix de Guernesey),10,6,2,1,5,8,13
OC_7,R_7,Prix Vans Barbot (Prix de Clôture),2,7,9,4,10,11,13
OC_8,R_8,Prix Rêve la Boutique (Prix de Schonbrunn),3,8,11,10,1,2,0
OC_9,R_9,Prix Astheya (Prix du Lieu Mallet),8,3,4,10,2,5,6
OC_10,R_10,Prix Antoine Blanckaert,2,5,4,1,0,0,0
OC_11,R_11,Prix Laborde,5,3,1,2,0,0,0
OC_12,R_12,Prix Nell Bréauté,3,5,4,2,0,0,0
OC_13,R_13,Prix Métatéro,1,8,11,3,2,7,0
OC_14,R_14,Prix Bel la Vie,6,5,7,8,0,0,0
OC_15,R_15,Prix Milord Thomas,4,1,10,9,2,7,0
OC_16,R_16,Prix Jean-Baptiste Corot,2,4,6,5,1,0,0
OC_17,R_17,Prix de Saint-Mandé,3,11,5,2,9,0,0
OC_18,R_18,Prix de Dole,10,3,4,1,2,5,0
OC_19,R_19,Prix de Lury-sur-Arnon,2,9,3,5,4,0,0
OC_20,R_20,Prix de Provence,6,12,7,8,2,3,0
OC_21,R_21,Prix Camille Lepecq,5,8,7,9,11,10,0
OC_22,R_22,Yearling Cup 2023 - Arqana Trot,7,15,14,13,12,11,0
OC_23,R_23,Prix Phact,5,9,11,10,7,8,0
OC_24,R_24,Prix de Mulhouse,8,5,4,10,2,11,7
OC_25,R_25,Prix de Montegiorgio,4,9,14,8,10,5,1
OC_26,R_26,Prix du Conseil Régional de la Toscane,4,5,2,3,7,0,0
OC_27,R_27,Grand Prix du Département des Alpes-Maritimes,1,3,6,7,2,4,0
OC_28,R_28,Prix d'Argentan,8,5,7,1,0,0,0
OC_29,R_29,Prix de Jägersro (Prix Journal Paris-Turf),13,11,10,3,12,9,6
OC_30,R_30,Prix Timoko,4,7,6,2,0,0,0
OC_31,R_31,11ème Palio de l'Amitié - BFM Nice Côte d'Azur,1,3,7,12,11,6,4
OC_32,R_32,Prix Alouettes - Prix France Bleu,7,9,5,8,2,0,0
OC_33,R_33,Prix des Dahlias - Prix Ville de Saint-Galmier,6,8,12,10,11,4,0
OC_34,R_34,Prix des Coquelicots,13,15,9,12,7,10,8
OC_35,R_35,Prix des Pâquerettes - Prix Hippodrome Fête,11,8,9,10,7,1,0
OC_36,R_36,Prix des Eglantines,14,7,4,6,12,5,11
OC_37,R_37,Prix Saint-Etienne la Métropole - Race And Care,6,11,4,8,10,5,0
OC_38,R_38,Prix des Gentianes - Prix des Pas Pétillants,1,16,12,11,15,14,8
OC_39,R_39,Wettstar.de Teamwetten-Cup,6,7,5,1,9,0,0
OC_40,R_40,Freiberger Grapefruit-Cup,8,1,3,6,5,0,0
OC_41,R_41,Buchmacher Albers Steher-Cup,1,3,6,7,9,0,0
