winning_id,race_id,race_name,number of horses,win,1_place,ZE_Show,2_place,3_place,ZE_4th,1_2_win,1_2_place,1_3_place,1_2_order,trifecta_box,trifecta,ZE_2/4,ZE_4,ZE_4_order,ZE_5,ZE_234_2,ZE_234_3,ZE_234_4,ZE_345_3,ZE_345_4,ZE_345_5
W_1,R_1,Prix Zeturf (Prix North Jet),6,3.1,1.5,3.6,1.5,0,0,0,0,0,10.8,0,18.1,0,0,0,0,0,0,0,0,0,0
W_2,R_2,Prix Grandeur Nature (Prix Ramsin),7,3,1.4,3.2,1.2,0,0,0,0,0,7.2,0,18.4,0,0,0,0,0,0,0,0,0,0
W_3,R_3,Prix Sissy's Art et Création (Prix Voix du Nord),7,5.1,3.2,7.2,4.7,0,0,0,0,0,51.7,0,255.1,0,0,0,0,0,0,0,0,0,0
W_4,R_4,Prix Clôture du Meeting Clairefontaine l'Athippique (Prix Robertet),16,5.4,2.3,10.4,5.6,2.7,11.9,65.1,17.8,8.5,0,151.1,1008,6.8,0,0,0,0,0,0,0,0,0
W_5,R_5,Prix Juste Equilibre avec Darty Deauville (Prix des Magnolias),12,7.7,2.2,8.5,3,1.6,7.2,49.9,12.6,3.8,0,48.5,0,3,0,0,0,0,0,0,0,0,0
W_6,R_6,Prix Espadrille Deauville (Prix de Guernesey),13,5.5,1.9,15.1,5.8,2.2,11.2,67.7,21.4,5.2,0,91.5,0,5.9,0,0,0,0,0,0,0,0,0
W_7,R_7,Prix Vans Barbot (Prix de Clôture),16,5.1,2.2,48.2,19.1,5.6,17.5,178.3,75.1,30.2,0,290.6,0,36.9,0,0,0,0,0,0,0,0,0
W_8,R_8,Prix Rêve la Boutique (Prix de Schonbrunn),11,12.2,5,8.1,3,5.6,9.5,53.6,20.1,41.2,0,326.6,0,30.3,0,0,0,0,0,0,0,0,0
W_9,R_9,Prix Astheya (Prix du Lieu Mallet),13,8.4,2.9,21.1,4.9,2.3,8.8,89,20.9,6.6,0,120.1,0,4.1,0,0,0,0,0,0,0,0,0
W_10,R_10,Prix Antoine Blanckaert,5,2.7,1.9,6.7,4.1,0,0,0,0,0,26.2,0,111.2,0,0,0,0,0,0,0,0,0,0
W_11,R_11,Prix Laborde,6,4.6,1.6,3.8,1.2,0,0,0,0,0,9.6,0,34.6,0,0,0,0,0,0,0,0,0,0
W_12,R_12,Prix Nell Bréauté,6,2,1.3,5.4,3.5,0,0,0,0,0,12.3,0,34.7,0,0,0,0,0,0,0,0,0,0
W_13,R_13,Prix Métatéro,10,6.7,1.6,28,7.3,9.8,7,94.8,26.4,22.5,0,814.2,0,3.8,0,0,0,0,0,0,0,0,0
W_14,R_14,Prix Bel la Vie,8,9.5,1.5,5.7,1.7,1.1,12.3,23,4.6,3,55.2,15.8,184.1,0,0,0,0,0,0,0,0,0,0
W_15,R_15,Prix Milord Thomas,12,6.9,2.5,6.7,2,1.5,9.3,23.2,7.5,5.1,0,23.3,0,2.9,0,0,0,0,0,0,0,0,0
W_16,R_16,Prix Jean-Baptiste Corot,10,13.4,2.1,4.7,1.5,1.2,5.6,13.9,4.7,5.2,37.2,15.3,326.6,1.4,0,0,0,0,0,0,0,0,0
